               ,precision           ,recall              ,f1-score            ,support
Advanzia       ,1.0                 ,0.6                 ,0.75                , 5.0
BancoInter     ,1.0                 ,1.0                 ,1.0                 , 3.0
CarreBlue      ,0.0                 ,0.0                 ,0.0                 , 2.0
CirclWebServer ,1.0                 ,1.0                 ,1.0                 , 2.0
CounterStrike  ,0.5714285714285714  ,0.8                 ,0.6666666666666666  , 5.0
EmiratesNBD    ,0.0                 ,0.0                 ,0.0                 , 1.0
KBC            ,1.0                 ,0.3333333333333333  ,0.5                 , 3.0
N26            ,0.7272727272727273  ,0.6153846153846154  ,0.6666666666666666  ,13.0
Office         ,0.0                 ,0.0                 ,0.0                 , 0.0
Oldcircl       ,1.0                 ,1.0                 ,1.0                 , 1.0
OneDrive       ,0.0                 ,0.0                 ,0.0                 , 1.0
OrangeWebmail  ,0.0                 ,0.0                 ,0.0                 , 0.0
Outlook        ,0.0                 ,0.0                 ,0.0                 , 0.0
SPankki        ,1.0                 ,1.0                 ,1.0                 , 1.0
Steam          ,1.0                 ,0.6666666666666666  ,0.8                 , 3.0
TaggingServer  ,0.0                 ,0.0                 ,0.0                 , 0.0
WellsFargo     ,0.0                 ,0.0                 ,0.0                 , 1.0
ackouperm      ,0.75                ,0.75                ,0.75                , 4.0
bitcoin        ,0.0                 ,0.0                 ,0.0                 , 0.0
errorMessage   ,0.5                 ,0.6                 ,0.5454545454545454  , 5.0
fibank         ,0.0                 ,0.0                 ,0.0                 , 0.0
formular       ,0.5                 ,1.0                 ,0.6666666666666666  , 1.0
google         ,0.0                 ,0.0                 ,0.0                 , 1.0
microsoft      ,0.75                ,0.9                 ,0.8181818181818182  ,10.0
misc           ,1.0                 ,0.3333333333333333  ,0.5                 , 3.0
multilogo      ,0.0                 ,0.0                 ,0.0                 , 1.0
news           ,0.0                 ,0.0                 ,0.0                 , 1.0
rackspace      ,0.0                 ,0.0                 ,0.0                 , 2.0
uncomplete     ,0.9230769230769231  ,0.9230769230769231  ,0.9230769230769231  ,13.0
unloaded       ,0.16666666666666666 ,0.2222222222222222  ,0.19047619047619047 , 9.0
accuracy       ,0.6153846153846154  ,0.6153846153846154  ,0.6153846153846154  , 0.6153846153846154
macro avg      ,0.4296148296148296  ,0.39146723646723647 ,0.39257298257298257 ,91.0
weighted avg   ,0.6627658056229485  ,0.6153846153846154  ,0.6202202559345417  ,91.0
