,precision,recall,f1-score,support
0,1.0,1.0,1.0,3.0
1,0.0,0.0,0.0,1.0
2,1.0,1.0,1.0,3.0
3,1.0,1.0,1.0,1.0
4,0.0,0.0,0.0,1.0
5,0.5714285714285714,1.0,0.7272727272727273,4.0
7,1.0,1.0,1.0,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
10,1.0,1.0,1.0,2.0
11,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0
13,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
14,0.6666666666666666,1.0,0.8,2.0
15,0.5,1.0,0.6666666666666666,1.0
16,1.0,1.0,1.0,2.0
17,1.0,1.0,1.0,3.0
18,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,3.0
21,1.0,1.0,1.0,2.0
22,1.0,0.5,0.6666666666666666,2.0
24,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,3.0
26,1.0,1.0,1.0,1.0
29,0.4,0.6666666666666666,0.5,3.0
30,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,4.0
34,1.0,1.0,1.0,2.0
35,0.5,1.0,0.6666666666666666,4.0
37,0.3333333333333333,1.0,0.5,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
41,0.6666666666666666,0.15384615384615385,0.25,13.0
accuracy,0.7282608695652174,0.7282608695652174,0.7282608695652174,0.7282608695652174
macro avg,0.6671289494818907,0.7277526395173454,0.6751544591509989,92.0
weighted avg,0.7178947863730472,0.7282608695652174,0.684295318918081,92.0
overall,0.7178947863730472,0.7282608695652174,0.684295318918081,
