,precision,recall,f1-score,support
0,1.0,1.0,1.0,3.0
1,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,3.0
3,1.0,1.0,1.0,1.0
4,0.0,0.0,0.0,1.0
5,0.5,1.0,0.6666666666666666,4.0
7,0.3333333333333333,1.0,0.5,1.0
8,0.0,0.0,0.0,1.0
9,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,2.0
11,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
13,0.75,1.0,0.8571428571428571,3.0
14,0.6666666666666666,1.0,0.8,2.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,2.0
17,1.0,1.0,1.0,3.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,3.0
21,1.0,1.0,1.0,2.0
22,1.0,0.5,0.6666666666666666,2.0
24,0.0,0.0,0.0,1.0
25,1.0,1.0,1.0,3.0
26,1.0,1.0,1.0,1.0
29,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
30,1.0,1.0,1.0,1.0
31,0.5,0.25,0.3333333333333333,4.0
34,0.6666666666666666,1.0,0.8,2.0
35,0.6666666666666666,0.5,0.5714285714285714,4.0
37,0.3333333333333333,1.0,0.5,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
41,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
accuracy,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.7608695652173914
macro avg,0.7611370111370112,0.8125485625485624,0.7648293227240597,92.0
weighted avg,0.7672101449275361,0.7608695652173914,0.7398278304456793,92.0
overall,0.7672101449275361,0.7608695652173914,0.7398278304456793,
