,precision,recall,f1-score,support
0,1.0,1.0,1.0,3.0
1,1.0,1.0,1.0,1.0
2,0.75,1.0,0.8571428571428571,3.0
3,1.0,1.0,1.0,1.0
4,0.0,0.0,0.0,1.0
5,0.5,0.75,0.6,4.0
7,0.5,1.0,0.6666666666666666,1.0
8,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.0
10,1.0,1.0,1.0,2.0
11,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0
13,0.6,1.0,0.75,3.0
14,0.5,0.5,0.5,2.0
15,1.0,1.0,1.0,1.0
16,1.0,1.0,1.0,2.0
17,1.0,1.0,1.0,3.0
18,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,3.0
21,1.0,1.0,1.0,2.0
22,1.0,0.5,0.6666666666666666,2.0
24,0.0,0.0,0.0,1.0
25,1.0,1.0,1.0,3.0
26,1.0,1.0,1.0,1.0
29,0.4,0.6666666666666666,0.5,3.0
30,0.0,0.0,0.0,1.0
31,1.0,0.25,0.4,4.0
34,1.0,1.0,1.0,2.0
35,0.25,0.25,0.25,4.0
36,0.0,0.0,0.0,0.0
37,0.5,1.0,0.6666666666666666,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
41,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
accuracy,0.6847826086956522,0.6847826086956522,0.6847826086956522,0.6847826086956522
macro avg,0.6466866466866467,0.6785714285714286,0.6429159518058236,92.0
weighted avg,0.6772891963109354,0.6847826086956522,0.6549385772615682,92.0
overall,0.6772891963109354,0.6847826086956522,0.6549385772615682,
