,precision,recall,f1-score,support
Advanzia,1.0,0.6,0.75,5.0
BancoInter,1.0,1.0,1.0,3.0
CarreBlue,0.0,0.0,0.0,2.0
CirclWebServer,1.0,1.0,1.0,2.0
CounterStrike,0.5,0.6,0.5454545454545454,5.0
EmiratesNBD,0.0,0.0,0.0,1.0
KBC,0.0,0.0,0.0,3.0
N26,0.6666666666666666,0.6153846153846154,0.64,13.0
Office,0.0,0.0,0.0,0.0
Oldcircl,0.0,0.0,0.0,1.0
OneDrive,0.0,0.0,0.0,1.0
SPankki,1.0,1.0,1.0,1.0
Steam,1.0,0.6666666666666666,0.8,3.0
WellsFargo,0.0,0.0,0.0,1.0
ackouperm,1.0,1.0,1.0,4.0
errorMessage,0.5714285714285714,0.8,0.6666666666666666,5.0
formular,0.0,0.0,0.0,1.0
google,0.0,0.0,0.0,1.0
microsoft,0.7692307692307693,1.0,0.8695652173913043,10.0
misc,0.0,0.0,0.0,3.0
multilogo,0.0,0.0,0.0,1.0
news,0.0,0.0,0.0,1.0
rackspace,0.0,0.0,0.0,2.0
uncomplete,0.5217391304347826,0.9230769230769231,0.6666666666666666,13.0
unloaded,0.2,0.2222222222222222,0.21052631578947367,9.0
accuracy,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934
macro avg,0.3691626055104315,0.377094017094017,0.3659551764787463,91.0
weighted avg,0.5307552297996636,0.5934065934065934,0.5471171620141871,91.0
