,precision,recall,f1-score,support
0,1.0,1.0,1.0,4.0
2,1.0,1.0,1.0,3.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,3.0
5,1.0,0.8,0.8888888888888888,5.0
7,1.0,1.0,1.0,1.0
8,0.0,0.0,0.0,1.0
10,1.0,1.0,1.0,1.0
11,0.8333333333333334,0.625,0.7142857142857143,8.0
13,0.3333333333333333,0.5,0.4,2.0
14,0.5,0.5,0.5,2.0
15,0.0,0.0,0.0,1.0
16,1.0,1.0,1.0,1.0
17,0.6666666666666666,1.0,0.8,2.0
18,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,2.0
20,0.6666666666666666,1.0,0.8,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,1.0
24,0.0,0.0,0.0,1.0
25,1.0,1.0,1.0,3.0
29,0.5555555555555556,1.0,0.7142857142857143,5.0
30,0.5,1.0,0.6666666666666666,1.0
31,0.0,0.0,0.0,2.0
32,0.0,0.0,0.0,1.0
34,0.7777777777777778,1.0,0.875,7.0
35,0.25,0.25,0.25,4.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
38,0.5,1.0,0.6666666666666666,1.0
39,1.0,1.0,1.0,1.0
40,1.0,0.8461538461538461,0.9166666666666666,13.0
41,0.4,0.4444444444444444,0.42105263157894735,9.0
accuracy,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086
macro avg,0.6055555555555555,0.6656241906241906,0.6246519075466443,92.0
weighted avg,0.7154589371980676,0.7391304347826086,0.7162460045040137,92.0
overall,0.7154589371980676,0.7391304347826086,0.7162460045040137,
