,precision,recall,f1-score,support
0,0.5,0.23076923076923078,0.3157894736842105,13.0
1,0.0,0.0,0.0,1.0
2,0.4166666666666667,0.8333333333333334,0.5555555555555556,6.0
3,0.375,0.75,0.5,4.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.0,0.0,0.0,1.0
7,1.0,1.0,1.0,2.0
9,1.0,1.0,1.0,3.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,3.0
13,1.0,0.9230769230769231,0.96,13.0
14,0.75,1.0,0.8571428571428571,3.0
15,0.75,1.0,0.8571428571428571,3.0
16,0.0,0.0,0.0,4.0
17,1.0,1.0,1.0,3.0
18,0.6666666666666666,1.0,0.8,2.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,3.0
23,0.5,0.5,0.5,2.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,2.0
28,0.0,0.0,0.0,1.0
30,1.0,1.0,1.0,3.0
31,1.0,0.5,0.6666666666666666,2.0
32,1.0,1.0,1.0,1.0
33,0.6666666666666666,1.0,0.8,4.0
36,0.3333333333333333,1.0,0.5,1.0
39,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,1.0
accuracy,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.7391304347826086
macro avg,0.6957070707070707,0.7496114996114996,0.7064332548543074,92.0
weighted avg,0.710144927536232,0.7391304347826086,0.7032042061675928,92.0
