,precision,recall,f1-score,support
0,0.3333333333333333,0.23076923076923078,0.2727272727272727,13.0
1,0.0,0.0,0.0,1.0
2,0.42857142857142855,1.0,0.6,6.0
3,0.3333333333333333,0.75,0.46153846153846156,4.0
4,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0
6,0.0,0.0,0.0,1.0
7,1.0,1.0,1.0,2.0
9,1.0,1.0,1.0,3.0
10,1.0,1.0,1.0,1.0
11,1.0,1.0,1.0,3.0
13,0.8461538461538461,0.8461538461538461,0.8461538461538461,13.0
14,0.4,0.6666666666666666,0.5,3.0
15,0.6,1.0,0.75,3.0
16,0.0,0.0,0.0,4.0
17,1.0,1.0,1.0,3.0
18,1.0,1.0,1.0,2.0
19,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,3.0
23,1.0,0.5,0.6666666666666666,2.0
25,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0
27,1.0,0.5,0.6666666666666666,2.0
28,0.0,0.0,0.0,1.0
30,1.0,1.0,1.0,3.0
31,0.0,0.0,0.0,2.0
32,0.0,0.0,0.0,1.0
33,0.6,0.75,0.6666666666666666,4.0
36,0.0,0.0,0.0,1.0
39,0.0,0.0,0.0,1.0
41,0.0,0.0,0.0,1.0
accuracy,0.6739130434782609,0.6739130434782609,0.6739130434782609,0.6739130434782609
macro avg,0.6224664224664225,0.6437451437451438,0.6191036236490782,92.0
weighted avg,0.6265010351966874,0.6739130434782609,0.6312493665754535,92.0
