,precision,recall,f1-score,support
Advanzia,1.0,0.8,0.8888888888888888,5.0
BancoInter,1.0,1.0,1.0,3.0
CarreBlue,0.0,0.0,0.0,2.0
CirclWebServer,1.0,1.0,1.0,2.0
CounterStrike,0.6666666666666666,0.4,0.5,5.0
EmiratesNBD,0.0,0.0,0.0,1.0
KBC,1.0,0.3333333333333333,0.5,3.0
N26,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
Oldcircl,0.0,0.0,0.0,1.0
OneDrive,0.0,0.0,0.0,1.0
OrangeWebmail,0.0,0.0,0.0,0.0
Outlook,0.0,0.0,0.0,0.0
SPankki,1.0,1.0,1.0,1.0
Steam,1.0,1.0,1.0,3.0
WeTransfer,0.0,0.0,0.0,0.0
WellsFargo,0.0,0.0,0.0,1.0
ackouperm,0.8,1.0,0.8888888888888888,4.0
errorMessage,0.6666666666666666,0.4,0.5,5.0
fibank,0.0,0.0,0.0,0.0
formular,0.0,0.0,0.0,1.0
google,0.0,0.0,0.0,1.0
microsoft,0.8571428571428571,0.6,0.7058823529411765,10.0
misc,0.0,0.0,0.0,3.0
multilogo,0.0,0.0,0.0,1.0
news,0.0,0.0,0.0,1.0
rackspace,0.0,0.0,0.0,2.0
uncomplete,0.5416666666666666,1.0,0.7027027027027027,13.0
unloaded,0.0,0.0,0.0,9.0
accuracy,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
macro avg,0.36640769944341367,0.32673992673992674,0.3340367678602973,91.0
weighted avg,0.5707066742781028,0.5384615384615384,0.5314354432001491,91.0
