,precision,recall,f1-score,support
0,1.0,1.0,1.0,4.0
2,1.0,1.0,1.0,3.0
3,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,3.0
5,1.0,0.6,0.75,5.0
7,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0
11,0.7142857142857143,0.625,0.6666666666666666,8.0
13,0.5,0.5,0.5,2.0
14,1.0,0.5,0.6666666666666666,2.0
15,0.0,0.0,0.0,1.0
16,1.0,1.0,1.0,1.0
17,1.0,1.0,1.0,2.0
19,1.0,1.0,1.0,2.0
20,0.5,1.0,0.6666666666666666,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,1.0
24,0.0,0.0,0.0,1.0
25,1.0,1.0,1.0,3.0
29,0.625,1.0,0.7692307692307693,5.0
30,0.3333333333333333,1.0,0.5,1.0
31,0.5,0.5,0.5,2.0
32,0.0,0.0,0.0,1.0
34,0.7777777777777778,1.0,0.875,7.0
35,0.3333333333333333,0.25,0.2857142857142857,4.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,1.0,0.8461538461538461,0.9166666666666666,13.0
41,0.45454545454545453,0.5555555555555556,0.5,9.0
accuracy,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.7608695652173914
macro avg,0.710571112914863,0.7305221688034188,0.7061441163003663,92.0
weighted avg,0.7613185425685426,0.7608695652173914,0.747616061474757,92.0
overall,0.7613185425685426,0.7608695652173914,0.747616061474757,
