,precision,recall,f1-score,support
0,1.0,1.0,1.0,4.0
2,0.6,1.0,0.75,3.0
3,0.3333333333333333,1.0,0.5,1.0
4,1.0,1.0,1.0,3.0
5,0.8,0.8,0.8,5.0
7,1.0,1.0,1.0,1.0
8,0.0,0.0,0.0,1.0
10,1.0,1.0,1.0,1.0
11,0.7142857142857143,0.625,0.6666666666666666,8.0
13,1.0,0.5,0.6666666666666666,2.0
14,0.6666666666666666,1.0,0.8,2.0
15,0.0,0.0,0.0,1.0
16,1.0,1.0,1.0,1.0
17,0.5,0.5,0.5,2.0
19,1.0,1.0,1.0,2.0
20,0.6666666666666666,1.0,0.8,2.0
21,1.0,1.0,1.0,2.0
22,1.0,1.0,1.0,1.0
24,0.0,0.0,0.0,1.0
25,0.75,1.0,0.8571428571428571,3.0
29,0.42857142857142855,0.6,0.5,5.0
30,0.3333333333333333,1.0,0.5,1.0
31,1.0,0.5,0.6666666666666666,2.0
32,0.0,0.0,0.0,1.0
34,0.875,1.0,0.9333333333333333,7.0
35,0.5,0.5,0.5,4.0
36,0.0,0.0,0.0,1.0
37,0.0,0.0,0.0,1.0
38,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0
40,0.8333333333333334,0.7692307692307693,0.8,13.0
41,0.42857142857142855,0.3333333333333333,0.375,9.0
accuracy,0.717391304347826,0.717391304347826,0.717391304347826,0.717391304347826
macro avg,0.6384300595238095,0.6914863782051281,0.644233630952381,92.0
weighted avg,0.6962603519668739,0.717391304347826,0.6938017598343685,92.0
overall,0.6962603519668739,0.717391304347826,0.6938017598343685,
